RA,Dec,Instrumental_Mag,Instrumental_Mag_err,Simbad_Mag,Simbad_Mag_error
119.90862488959796,-10.885235781748875,-10.020666298843974,0.0037781383011125,13.072,0.07
119.8804314270537,-10.870161505382582,-10.69904570620743,0.0023024310939248,12.373,0.05
119.88627458279068,-10.866534354261663,-10.053513601075084,0.0036737202157778,13.053,0.05
119.92376159653134,-10.855451595772148,-10.262100180728982,0.002972096276345,12.835,0.06
120.09086833357571,-10.838593471971944,-10.08340877136855,0.0036384796468643,13.032,0.06
120.0972141414516,-10.813409057975498,-9.689985919531798,0.0048923713026877,13.427,0.06
120.0033809293998,-10.786688574847457,-9.258370255849115,0.0079784780457583,13.802,0.07
119.98660985468008,-10.767858100030535,-9.419011534671576,0.0070032145594125,13.643,0.09
120.09561567388783,-10.764073345020536,-10.07276008107494,0.0035950500098879,13.038,0.07
120.00231637879844,-10.760564108984722,-9.32388900193206,0.0078403698890682,13.732,0.08
119.9245755467322,-10.723971303974794,-10.146145201681344,0.0034832025734483,12.952,0.07
120.08399601066095,-10.713353846493392,-10.102801117537812,0.0034753206128862,13.011,0.07
120.13445888874809,-10.697477625620758,-9.98477273789062,0.0038694821861015,13.254,0.13
120.05056640388028,-10.663238725849745,-9.849408385722883,0.0042765206349051,13.28,0.06
120.087829292165,-10.654683372860106,-9.99356943536445,0.0038712142621379,13.146,0.08
120.04975158072166,-10.622125613106412,-10.240004876290236,0.0030557795180961,12.884,0.06
